,CUS,ANS
0,CUST0000999786,0.0
1,CUST0000999385,0.0
2,CUST0000998907,0.0
3,CUST0000998851,0.0
4,CUST0000998609,0.0
5,CUST0000998017,0.0
6,CUST0000997627,0.0
7,CUST0000997572,1.0
8,CUST0000997464,0.0
9,CUST0000997386,0.0
10,CUST0000997118,0.0
11,CUST0000996890,1.0
12,CUST0000996727,1.0
13,CUST0000996270,0.0
14,CUST0000996154,0.0
15,CUST0000996036,0.0
16,CUST0000995942,1.0
17,CUST0000995323,0.0
18,CUST0000995062,0.0
19,CUST0000994627,1.0
20,CUST0000994500,0.0
21,CUST0000994456,0.0
22,CUST0000994430,1.0
23,CUST0000994325,1.0
24,CUST0000994273,0.0
25,CUST0000994225,0.0
26,CUST0000994092,0.0
27,CUST0000994026,1.0
28,CUST0000993845,1.0
29,CUST0000993716,1.0
30,CUST0000993604,0.0
31,CUST0000993466,1.0
32,CUST0000993271,0.0
33,CUST0000993082,0.0
34,CUST0000992774,0.0
35,CUST0000992773,0.0
36,CUST0000992596,0.0
37,CUST0000992462,0.0
38,CUST0000992313,0.0
39,CUST0000992272,1.0
40,CUST0000992117,1.0
41,CUST0000991565,1.0
42,CUST0000991376,0.0
43,CUST0000991337,0.0
44,CUST0000991195,1.0
45,CUST0000991150,1.0
46,CUST0000990401,0.0
47,CUST0000990193,1.0
48,CUST0000990077,0.0
49,CUST0000990044,0.0
50,CUST0000989488,0.0
51,CUST0000989318,0.0
52,CUST0000989268,1.0
53,CUST0000989103,0.0
54,CUST0000988538,0.0
55,CUST0000988276,0.0
56,CUST0000988262,1.0
57,CUST0000987979,1.0
58,CUST0000987769,0.0
59,CUST0000987552,0.0
60,CUST0000987542,0.0
61,CUST0000987265,0.0
62,CUST0000986685,1.0
63,CUST0000986665,1.0
64,CUST0000986591,0.0
65,CUST0000986342,1.0
66,CUST0000986262,0.0
67,CUST0000986165,0.0
68,CUST0000985648,1.0
69,CUST0000985595,1.0
70,CUST0000985435,1.0
71,CUST0000985379,0.0
72,CUST0000985355,1.0
73,CUST0000985163,0.0
74,CUST0000985022,0.0
75,CUST0000984963,0.0
76,CUST0000984916,1.0
77,CUST0000984828,0.0
78,CUST0000984808,1.0
79,CUST0000984478,1.0
80,CUST0000984094,0.0
81,CUST0000983830,0.0
82,CUST0000983579,1.0
83,CUST0000983323,0.0
84,CUST0000982560,0.0
85,CUST0000982155,0.0
86,CUST0000981925,0.0
87,CUST0000981826,0.0
88,CUST0000981759,1.0
89,CUST0000981610,0.0
90,CUST0000981542,0.0
91,CUST0000981494,1.0
92,CUST0000980958,1.0
93,CUST0000980779,0.0
94,CUST0000980514,1.0
95,CUST0000980418,0.0
96,CUST0000980408,1.0
97,CUST0000980244,0.0
98,CUST0000980026,0.0
99,CUST0000979780,0.0
100,CUST0000979243,0.0
101,CUST0000979107,0.0
102,CUST0000978956,1.0
103,CUST0000978795,0.0
104,CUST0000978286,0.0
105,CUST0000978270,1.0
106,CUST0000978130,1.0
107,CUST0000977889,1.0
108,CUST0000977878,1.0
109,CUST0000977551,1.0
110,CUST0000977193,0.0
111,CUST0000977162,0.0
112,CUST0000976866,1.0
113,CUST0000976863,1.0
114,CUST0000976731,0.0
115,CUST0000976555,1.0
116,CUST0000976529,0.0
117,CUST0000975940,0.0
118,CUST0000975797,1.0
119,CUST0000975676,0.0
120,CUST0000975317,1.0
121,CUST0000975272,0.0
122,CUST0000975006,0.0
123,CUST0000974910,1.0
124,CUST0000974781,1.0
125,CUST0000974742,1.0
126,CUST0000974546,0.0
127,CUST0000974519,0.0
128,CUST0000974365,1.0
129,CUST0000974297,0.0
130,CUST0000973965,0.0
131,CUST0000973403,1.0
132,CUST0000972938,0.0
133,CUST0000972290,0.0
134,CUST0000972119,1.0
135,CUST0000972049,0.0
136,CUST0000971991,0.0
137,CUST0000971929,0.0
138,CUST0000971718,0.0
139,CUST0000971672,1.0
140,CUST0000971633,0.0
141,CUST0000971355,0.0
142,CUST0000971298,0.0
143,CUST0000971178,0.0
144,CUST0000971158,0.0
145,CUST0000971135,0.0
146,CUST0000970138,0.0
147,CUST0000969621,0.0
148,CUST0000969460,0.0
149,CUST0000969302,1.0
150,CUST0000969237,0.0
151,CUST0000969123,0.0
152,CUST0000969050,0.0
153,CUST0000968749,1.0
154,CUST0000968322,0.0
155,CUST0000968222,0.0
156,CUST0000967987,0.0
157,CUST0000967657,0.0
158,CUST0000967395,1.0
159,CUST0000967288,0.0
160,CUST0000967247,1.0
161,CUST0000967041,0.0
162,CUST0000966156,0.0
163,CUST0000965879,0.0
164,CUST0000965784,1.0
165,CUST0000965765,0.0
166,CUST0000965597,0.0
167,CUST0000965441,0.0
168,CUST0000965378,1.0
169,CUST0000965308,1.0
170,CUST0000965181,1.0
171,CUST0000964472,1.0
172,CUST0000964342,0.0
173,CUST0000964191,1.0
174,CUST0000964168,1.0
175,CUST0000964045,0.0
176,CUST0000963716,0.0
177,CUST0000963557,0.0
178,CUST0000963329,0.0
179,CUST0000962337,0.0
180,CUST0000962125,0.0
181,CUST0000962041,0.0
182,CUST0000961436,0.0
183,CUST0000960491,1.0
184,CUST0000960424,0.0
185,CUST0000960281,0.0
186,CUST0000960214,0.0
187,CUST0000959875,0.0
188,CUST0000959598,1.0
189,CUST0000959483,1.0
190,CUST0000959416,0.0
191,CUST0000959407,1.0
192,CUST0000959332,1.0
193,CUST0000959307,0.0
194,CUST0000959210,0.0
195,CUST0000958935,0.0
196,CUST0000958757,0.0
197,CUST0000958177,0.0
198,CUST0000958098,0.0
199,CUST0000957777,0.0
200,CUST0000957318,0.0
201,CUST0000957143,1.0
202,CUST0000957087,1.0
203,CUST0000957056,0.0
204,CUST0000956550,0.0
205,CUST0000956375,0.0
206,CUST0000956316,1.0
207,CUST0000956261,0.0
208,CUST0000955839,1.0
209,CUST0000955744,0.0
210,CUST0000955613,0.0
211,CUST0000955466,1.0
212,CUST0000955346,1.0
213,CUST0000954589,0.0
214,CUST0000954371,0.0
215,CUST0000953895,1.0
216,CUST0000953795,0.0
217,CUST0000953727,0.0
218,CUST0000953479,1.0
219,CUST0000953463,0.0
220,CUST0000953401,1.0
221,CUST0000953363,0.0
222,CUST0000953220,0.0
223,CUST0000953189,1.0
224,CUST0000952892,1.0
225,CUST0000952727,0.0
226,CUST0000952630,1.0
227,CUST0000952310,0.0
228,CUST0000952091,0.0
229,CUST0000951997,0.0
230,CUST0000951964,0.0
231,CUST0000951874,0.0
232,CUST0000951802,0.0
233,CUST0000951558,0.0
234,CUST0000951488,1.0
