CUST_CODE,TOTAL_QUANTITY,TOTAL_SPEND,TOTAL_COME,STORE_FORMAT
CUST0000000013,32,41.42,3,MS
CUST0000000013,90,118.89999999999998,9,LS
CUST0000000055,111,171.42000000000004,9,MS
CUST0000000679,17,17.32,5,MS
CUST0000000679,56,66.21,8,LS
CUST0000001052,5,2.33,5,SS
CUST0000001052,61,202.86999999999995,18,XLS
CUST0000001052,18,35.68,2,MS
CUST0000001098,231,318.43000000000012,32,LS
CUST0000001098,20,17.83,2,MS
CUST0000001148,138,192.09999999999991,49,LS
CUST0000001148,8,10.1,2,MS
CUST0000001392,1995,2585.5300000000052,131,LS
CUST0000001400,243,326.85,4,LS
CUST0000001437,540,708.44999999999936,100,MS
CUST0000001437,1,0.21,1,LS
CUST0000001480,99,117.94000000000001,13,LS
CUST0000001480,364,550.67000000000007,56,MS
CUST0000001962,218,346.81000000000006,26,LS
CUST0000001962,57,55.53,9,SS
CUST0000001962,94,81.75,24,MS
CUST0000002218,647,343.29,93,SS
CUST0000002218,6,2.82,2,MS
CUST0000002218,195,131.84,24,LS
CUST0000002245,28,42.699999999999996,7,SS
CUST0000002245,81,109.55999999999997,15,LS
CUST0000002623,49,57.17,2,LS
CUST0000002678,4,22.400000000000002,2,MS
CUST0000002678,57,51.0,22,LS
CUST0000002678,1,0.37,1,SS
CUST0000003190,1199,1347.2800000000038,101,LS
CUST0000003347,2115,4063.3599999999979,117,MS
CUST0000003347,45,140.91,6,LS
CUST0000003447,2477,3418.7399999999971,246,LS
CUST0000003447,2,2.14,1,MS
CUST0000003603,16,13.8,4,MS
CUST0000004239,204,254.65000000000006,24,MS
CUST0000004239,2686,3759.1200000000094,450,LS
CUST0000004287,109,92.239999999999938,36,SS
CUST0000004287,20,60.05,10,LS
CUST0000004287,439,272.12999999999982,91,XLS
CUST0000004287,2,1.85,1,MS
CUST0000004457,237,271.81,64,LS
CUST0000004457,102,113.12999999999998,15,SS
CUST0000004457,19,32.87,4,MS
CUST0000004457,446,584.07999999999981,19,XLS
CUST0000004696,2,0.87,2,MS
CUST0000004696,11,14.480000000000002,7,SS
CUST0000004696,24,23.290000000000006,5,LS
CUST0000004825,1787,2598.0699999999988,160,LS
CUST0000005053,2308,3965.8900000000053,218,LS
CUST0000005053,17,31.939999999999998,6,MS
CUST0000005388,97,164.08999999999997,55,LS
CUST0000005388,6,7.48,2,MS
CUST0000005739,7,7.92,5,SS
CUST0000005739,80,127.98999999999998,27,LS
CUST0000005739,16,26.010000000000005,6,MS
CUST0000005739,4,4.31,3,XLS
CUST0000005874,341,268.12999999999994,74,LS
CUST0000006239,53,102.48,4,LS
CUST0000006239,9,21.31,1,MS
CUST0000006394,499,677.92999999999961,42,LS
CUST0000006394,287,389.64000000000016,64,MS
CUST0000006394,2,0.84,1,SS
CUST0000006445,18,20.509999999999998,2,XLS
CUST0000006445,12,17.86,5,SS
CUST0000006445,452,509.77999999999986,99,MS
CUST0000006976,171,152.0,46,MS
CUST0000007046,538,517.1600000000002,49,LS
CUST0000007540,21,14.17,1,LS
CUST0000007634,4,2.33,1,LS
