CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200731,2007-09-30,81,533.35000000000014,0,282,0,0,73,162,47,0,138,144,0,191,11,55,25,53,229,0,0,0,0.0,0.0
CUST0000999385,200731,2007-09-27,207,2758.7599999999993,0,0,2172,0,1885,251,36,1040,200,931,1,1059,113,993,6,29,2070,27,46,1,0.0,0.0
CUST0000998907,200731,2007-09-28,106,2208.2200000000003,0,0,1392,0,1239,135,18,1021,89,282,0,356,110,926,0,1392,0,0,0,0,0.0,0.0
CUST0000998851,200730,2007-09-21,2,46.43,0,6,0,0,0,5,1,0,1,5,0,0,0,0,6,6,0,0,0,0,0.0,0.0
CUST0000998609,200729,2007-09-10,6,18.25,0,0,0,8,0,2,6,0,8,0,0,5,0,2,1,5,1,2,0,0,0.0,0.0
CUST0000998609,200702,2007-03-06,3,21.41,0,0,0,7,0,4,3,0,3,4,0,4,1,0,2,6,0,1,0,0,2.0,1.0
CUST0000998017,200731,2007-09-30,567,3692.690000000001,1487,0,0,0,134,1029,324,0,1157,277,53,831,245,302,56,7,0,1480,0,53,0.0,0.0
CUST0000997627,200731,2007-09-28,137,1148.81,1147,0,0,0,806,319,22,305,102,740,0,330,174,640,3,142,4,1001,0,0,0.0,0.0
CUST0000997572,200706,2007-04-07,1,36.14,0,0,26,0,26,0,0,26,0,0,0,0,0,26,0,26,0,0,0,0,1.0,1.0
CUST0000997572,200704,2007-03-24,19,908.1400000000001,0,0,461,0,461,0,0,434,0,27,0,89,0,372,0,461,0,0,0,0,0.0,0.0
CUST0000997464,200731,2007-09-28,140,1845.3200000000002,0,935,0,0,640,244,51,171,171,591,2,664,31,204,34,792,88,55,0,2,0.0,0.0
CUST0000997386,200731,2007-09-27,43,234.19,0,0,129,0,51,41,37,0,56,70,3,38,17,65,6,3,32,0,94,3,0.0,0.0
CUST0000997118,200731,2007-09-30,179,1407.79,0,0,869,0,360,445,64,0,363,506,0,646,35,176,12,867,0,0,2,0,0.0,0.0
CUST0000996890,200727,2007-08-28,24,118.32000000000001,0,58,0,0,36,18,4,0,20,33,5,10,43,0,0,0,22,11,25,5,0.0,0.0
CUST0000996727,200716,2007-06-12,2,12.8,0,0,9,0,8,0,1,0,1,8,0,1,0,8,0,9,0,0,0,0,2.0,1.0
CUST0000996270,200731,2007-09-26,59,1159.96,0,527,0,0,418,105,4,192,69,266,0,288,31,207,1,527,0,0,0,0,0.0,0.0
CUST0000996154,200730,2007-09-18,112,1514.19,680,0,0,0,571,66,43,52,77,550,1,350,53,271,5,0,4,676,0,1,0.0,0.0
CUST0000996036,200718,2007-06-29,4,23.0,0,13,0,0,0,12,1,0,13,0,0,12,1,0,0,12,0,1,0,0,1.0,1.0
CUST0000996036,200711,2007-05-13,60,532.12,0,230,0,0,87,114,29,13,107,110,0,132,14,78,6,230,0,0,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200731,2007-09-30,135,2893.6299999999997,1788,0,0,0,1721,59,8,906,28,854,0,971,49,766,2,1763,25,0,0,0,0.0,0.0
CUST0000995062,200731,2007-09-25,89,1247.2699999999998,539,0,0,0,348,166,25,148,118,273,0,205,94,236,4,534,2,3,0,0,0.0,0.0
CUST0000994627,200720,2007-07-09,1,6.8,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,6,0,0,0,0,1.0,1.0
CUST0000994500,200643,2006-12-22,1,0.45,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1.0,1.0
CUST0000994456,200731,2007-09-29,206,1322.5400000000002,697,0,0,0,168,414,115,59,344,294,0,304,87,248,58,697,0,0,0,0,0.0,0.0
CUST0000994430,200708,2007-04-19,2,5.1400000000000006,5,0,0,0,0,4,1,0,1,4,0,4,0,0,1,5,0,0,0,0,1.0,1.0
CUST0000994430,200703,2007-03-16,4,19.78,12,0,0,0,0,9,3,0,12,0,0,6,6,0,0,12,0,0,0,0,0.0,0.0
CUST0000994325,200732,2007-10-06,1,12.63,11,0,0,0,11,0,0,0,0,11,0,0,0,11,0,0,11,0,0,0,1.0,1.0
CUST0000994225,200731,2007-09-26,235,2447.6699999999996,0,0,1229,0,767,371,91,72,288,869,0,933,27,243,26,1197,23,6,3,0,0.0,0.0
CUST0000994092,200731,2007-09-30,129,2732.9800000000005,0,1623,0,0,1454,144,25,1053,81,489,0,814,38,762,9,1592,1,0,30,0,0.0,0.0
CUST0000994026,200726,2007-08-21,1,5.26,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000993845,200714,2007-05-28,1,8.29,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,1.0
CUST0000993716,200728,2007-09-05,1,111.41,0,52,0,0,52,0,0,52,0,0,0,0,0,52,0,0,52,0,0,0,1.0,1.0
CUST0000993604,200730,2007-09-22,135,1233.07,0,702,0,0,350,304,48,119,230,353,0,505,49,120,28,5,652,39,6,0,0.0,0.0
CUST0000993466,200649,2007-02-03,2,19.37,0,7,0,0,0,7,0,0,3,4,0,3,4,0,0,0,7,0,0,0,2.0,1.0
CUST0000993466,200649,2007-01-31,2,32.66,0,8,0,0,7,0,1,0,0,7,1,7,0,0,0,0,8,0,0,1,0.0,0.0
CUST0000993271,200714,2007-05-31,98,2432.6100000000006,0,0,1355,0,1244,87,24,1201,72,82,0,668,12,670,5,83,1272,0,0,0,0.0,0.0
CUST0000993271,200719,2007-07-03,14,220.27,0,0,123,0,101,16,6,101,17,5,0,94,4,25,0,8,115,0,0,0,1.0,1.0
CUST0000993082,200731,2007-09-30,105,1652.1,0,457,0,0,275,135,47,233,150,72,2,72,96,264,23,457,0,0,0,2,0.0,0.0
CUST0000992774,200731,2007-09-26,54,497.28000000000003,0,297,0,0,166,116,15,20,67,210,0,198,24,75,0,267,0,0,30,0,0.0,0.0
CUST0000992596,200730,2007-09-22,26,262.12,0,0,109,0,33,70,6,0,43,66,0,81,6,17,5,105,4,0,0,0,0.0,0.0
CUST0000992462,200729,2007-09-15,4,59.120000000000005,0,0,21,0,18,1,2,0,2,18,1,20,0,0,0,21,0,0,0,1,3.0,1.0
CUST0000992313,200731,2007-09-30,130,3651.7300000000009,0,0,1246,0,1118,118,10,270,58,918,0,804,96,343,3,10,20,0,1216,0,0.0,0.0
CUST0000992272,200617,2006-06-20,2,6.69,0,6,0,0,0,5,1,0,1,5,0,5,1,0,0,0,0,1,5,0,1.0,1.0
CUST0000992272,200613,2006-05-25,1,1.85,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0.0,0.0
