CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN
CUST0000999786,200805,2008-03-27,116,737.99000000000024,0,412,0,0,127,226,59,0,195,217,0,266,24,94,28,77,333,2,0,0,0.0
CUST0000999385,200805,2008-03-24,278,3787.1599999999989,0,0,2956,0,2585,330,41,1491,232,1232,1,1357,213,1379,6,76,2806,27,47,1,0.0
CUST0000998907,200805,2008-03-29,148,3078.6399999999994,0,0,1947,0,1724,195,28,1455,127,365,0,472,206,1266,3,1947,0,0,0,0,0.0
CUST0000998851,200752,2008-02-19,21,348.25,0,128,0,0,101,15,12,84,22,22,0,22,9,84,13,125,0,3,0,0,0.0
CUST0000998609,200751,2008-02-12,12,50.739999999999995,0,0,0,19,0,8,11,0,15,4,0,9,5,2,3,14,1,4,0,0,3.0
CUST0000998017,200806,2008-03-31,819,5049.68,2067,0,0,0,161,1403,503,0,1607,362,98,1175,334,385,75,12,0,2055,0,98,0.0
CUST0000997627,200804,2008-03-17,181,1555.8,1533,0,0,0,1109,399,25,391,155,987,0,522,196,812,3,210,4,1319,0,0,0.0
CUST0000997572,200741,2007-12-04,21,961.61000000000013,0,0,501,0,501,0,0,460,0,41,0,103,0,398,0,501,0,0,0,0,2.0
CUST0000997464,200803,2008-03-10,156,2178.6600000000003,0,1075,0,0,752,269,54,221,184,668,2,767,39,233,34,925,95,55,0,2,0.0
CUST0000997386,200806,2008-03-31,70,360.28999999999996,0,0,192,0,53,85,54,0,103,85,4,62,32,84,10,3,54,0,135,4,0.0
CUST0000997118,200805,2008-03-28,257,2182.1000000000004,0,0,1257,0,562,599,96,0,543,713,1,933,51,253,19,1254,0,1,2,1,0.0
CUST0000996890,200803,2008-03-15,29,157.27,0,70,0,0,36,29,5,0,26,37,7,10,45,8,0,0,34,11,25,7,0.0
CUST0000996727,200805,2008-03-24,4,50.8,0,0,27,0,23,3,1,15,4,8,0,1,3,23,0,27,0,0,0,0,2.0
CUST0000996270,200804,2008-03-22,87,1524.3600000000001,0,721,0,0,570,136,15,236,100,385,0,408,39,273,1,721,0,0,0,0,0.0
CUST0000996154,200805,2008-03-28,147,1989.2299999999998,893,0,0,0,726,121,46,52,124,716,1,473,59,353,7,1,4,888,0,1,0.0
CUST0000996036,200718,2007-06-29,64,555.12,0,243,0,0,87,126,30,13,120,110,0,144,15,78,6,242,0,1,0,0,1.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0
CUST0000995323,200805,2008-03-30,194,4289.53,2537,0,0,0,2438,89,10,1407,49,1081,0,1363,83,1089,2,2495,42,0,0,0,0.0
