,CUST_CODE,LAST_WEEK,LAST_DATE,TOTAl_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_XX,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,CHURN
0,CUST0000033514,200613,2006-05-28,3,6.970000000000001,9,0,0,0,0,7,2,0,2,6,1,6,0,0,2,1,0,0,0,9,0
1,CUST0000035935,200613,2006-05-23,5,130.7,0,64,0,0,63,0,1,44,0,19,1,34,0,29,0,1,64,0,0,0,0
2,CUST0000180434,200614,2006-05-31,10,233.67,0,86,0,0,70,14,2,0,1,84,1,19,22,44,0,1,86,0,0,0,0
3,CUST0000353938,200614,2006-05-31,25,194.09,0,0,80,0,15,53,12,0,28,50,2,37,17,18,6,2,54,26,0,0,0
4,CUST0000396745,200614,2006-05-30,20,74.54,0,45,0,0,0,32,13,0,35,9,1,24,9,8,3,1,0,45,0,0,0
5,CUST0000403048,200613,2006-05-24,11,45.61000000000001,0,0,32,0,0,28,4,0,23,6,3,5,11,13,0,3,10,2,20,0,0
6,CUST0000487322,200614,2006-05-31,37,377.41,0,148,0,0,63,58,27,0,65,81,2,45,24,70,7,2,148,0,0,0,0
7,CUST0000491009,200614,2006-05-29,14,299.2100000000001,0,125,0,0,124,1,0,0,0,124,1,124,0,0,0,1,1,124,0,0,0
8,CUST0000558339,200614,2006-05-31,56,622.3899999999999,0,331,0,0,172,136,23,102,93,132,4,259,0,63,5,4,95,234,2,0,0
9,CUST0000600338,200613,2006-05-27,20,152.5,99,0,0,0,45,47,7,36,31,30,2,36,9,52,0,2,36,63,0,0,0
10,CUST0000611895,200614,2006-05-29,5,13.17,0,7,0,0,0,2,5,0,6,0,1,5,1,0,0,1,7,0,0,0,0
11,CUST0000672612,200614,2006-05-31,17,254.55,0,0,117,0,85,29,3,0,20,96,1,86,12,15,3,1,109,0,0,8,0
12,CUST0000705963,200612,2006-05-16,1,12.24,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
13,CUST0000764520,200613,2006-05-22,18,217.57,0,134,0,0,75,58,1,67,17,49,1,39,0,94,0,1,45,0,89,0,0
14,CUST0000882821,200614,2006-05-31,6,72.14,0,30,0,0,24,0,6,24,3,0,3,3,0,24,0,3,30,0,0,0,0
15,CUST0000910411,200614,2006-05-29,9,40.02,0,17,0,0,0,8,9,0,16,0,1,3,9,2,2,1,6,11,0,0,0
16,CUST0000001437,200613,2006-05-22,7,29.95,0,24,0,0,0,22,2,0,9,15,0,6,0,18,0,0,0,24,0,0,0
17,CUST0000001480,200614,2006-05-30,9,111.36,0,49,0,0,31,16,2,0,9,40,0,22,9,18,0,0,15,34,0,0,0
18,CUST0000001962,200613,2006-05-27,14,156.52999999999997,0,78,0,0,54,20,4,38,24,16,0,56,6,16,0,0,52,20,6,0,0
19,CUST0000003190,200614,2006-05-29,8,110.15,0,0,88,0,72,16,0,27,0,61,0,10,0,78,0,0,88,0,0,0,0
20,CUST0000003347,200614,2006-05-30,8,190.37,0,88,0,0,79,9,0,70,9,9,0,61,2,25,0,0,0,88,0,0,0
21,CUST0000004239,200614,2006-05-29,34,260.73,163,0,0,0,79,65,19,75,40,48,0,62,15,84,2,0,163,0,0,0,0
22,CUST0000004287,200614,2006-05-29,10,33.65,0,0,28,0,7,14,7,0,15,13,0,9,1,17,1,0,3,0,0,25,0
23,CUST0000004457,200614,2006-05-31,10,264.97,168,0,0,0,152,16,0,138,12,18,0,16,0,152,0,0,7,0,0,161,0
24,CUST0000005874,200611,2006-05-11,6,24.48,23,0,0,0,8,12,3,0,10,13,0,12,3,8,0,0,23,0,0,0,0
25,CUST0000006394,200613,2006-05-28,9,117.05,51,0,0,0,32,13,6,32,12,7,0,8,10,32,1,0,5,46,0,0,0
26,CUST0000008640,200610,2006-05-03,1,16.59,0,11,0,0,11,0,0,0,0,11,0,11,0,0,0,0,11,0,0,0,0
27,CUST0000009737,200614,2006-05-29,36,292.04,0,156,0,0,58,89,9,17,82,57,0,64,10,60,22,0,156,0,0,0,0
28,CUST0000010288,200614,2006-05-29,12,120.23,0,89,0,0,68,19,2,17,21,51,0,69,6,13,1,0,89,0,0,0,0
29,CUST0000010921,200613,2006-05-28,16,225.75,0,121,0,0,104,11,6,65,17,39,0,73,1,42,5,0,121,0,0,0,0
30,CUST0000012357,200613,2006-05-24,7,133.13,0,0,61,0,34,27,0,34,20,7,0,58,0,0,3,0,61,0,0,0,0
31,CUST0000013075,200614,2006-05-31,9,184.67,0,0,94,0,70,24,0,54,12,28,0,82,8,4,0,0,28,66,0,0,0
32,CUST0000014549,200613,2006-05-27,26,140.13,88,0,0,0,21,53,14,0,46,42,0,24,22,39,3,0,88,0,0,0,0
33,CUST0000014840,200614,2006-05-31,17,145.97,91,0,0,0,45,38,8,11,22,58,0,48,7,26,10,0,89,2,0,0,0
34,CUST0000014942,200614,2006-05-30,12,136.89999999999998,0,0,90,0,75,12,3,16,15,59,0,88,1,0,1,0,90,0,0,0,0
35,CUST0000015843,200613,2006-05-28,8,109.38,0,37,0,0,16,19,2,16,10,11,0,6,3,27,1,0,33,4,0,0,1
36,CUST0000015949,200613,2006-05-28,5,51.73,0,0,30,0,15,15,0,0,0,30,0,13,0,17,0,0,30,0,0,0,0
37,CUST0000016305,200613,2006-05-25,6,43.73,0,24,0,0,16,5,3,0,8,16,0,5,12,0,7,0,24,0,0,0,0
38,CUST0000017545,200613,2006-05-22,5,146.13,0,54,0,0,54,0,0,26,0,28,0,46,0,8,0,0,54,0,0,0,0
39,CUST0000018190,200613,2006-05-24,2,13.75,0,0,10,0,0,8,2,0,2,8,0,10,0,0,0,0,10,0,0,0,0
40,CUST0000018911,200614,2006-05-30,13,246.83,59,0,0,0,55,2,2,11,4,44,0,46,13,0,0,0,0,59,0,0,0
41,CUST0000019017,200607,2006-04-16,1,22.93,0,0,0,10,10,0,0,0,0,10,0,10,0,0,0,0,10,0,0,0,1
42,CUST0000019629,200614,2006-05-30,19,162.74999999999994,0,0,80,0,46,21,13,12,19,49,0,43,23,9,5,0,72,8,0,0,0
43,CUST0000020571,200612,2006-05-15,6,34.44,0,17,0,0,6,8,3,0,11,6,0,15,2,0,0,0,17,0,0,0,0
44,CUST0000022415,200611,2006-05-10,1,24.81,0,11,0,0,11,0,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0
